"TIMESTAMP","RECORD","ESTACION","TEMP_C_Max","TEMP_C_TMx","RH_Max","RH_TMx","TEMP_C_Min","TEMP_C_TMn","RH_Min","RH_TMn","VCORR_m_s_Max","VCORR_m_s_TMx","Acum5_Max","Acum10_Max","Acum15_Max","Acum30_Max","LLUV_mm_Tot","Acum60_Max","Acum120_Max"
"2022-11-25 07:00:00",0,74053,32.22,"2022-11-24 13:08:48",100,"2022-11-24 19:15:03",23.05,"2022-11-25 05:56:42",62.49,"2022-11-24 11:57:42",6.272,"2022-11-24 13:01:18",2.2,2.2,2.4,2.4,3.4,2.4,2.4
"2022-11-26 07:00:00",1,74053,33.12,"2022-11-25 13:05:03",100,"2022-11-25 07:00:03",23.36,"2022-11-26 04:17:30",55.33,"2022-11-25 13:29:45",6.076,"2022-11-25 14:08:54",1.8,2.2,2.4,2.4,4.2,3.6,3.8
"2022-11-27 07:00:00",2,74053,30.29,"2022-11-26 13:45:24",100,"2022-11-26 20:41:06",23.73,"2022-11-26 07:11:06",68.75,"2022-11-26 13:40:24",6.141,"2022-11-26 13:51:21",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-11-28 07:00:00",3,74053,29.23,"2022-11-27 15:08:51",100,"2022-11-27 22:20:51",23.55,"2022-11-28 03:51:00",79.64,"2022-11-27 15:06:06",5.978,"2022-11-27 15:34:51",4.4,5.8,6.2,7,15.4,7.2,7.4
"2022-11-29 07:00:00",4,74053,31.62,"2022-11-28 10:29:30",100,"2022-11-29 04:25:42",21.9,"2022-11-29 05:39:06",62.52,"2022-11-28 14:40:03",6.011,"2022-11-28 22:03:45",0.8,0.8,0.8,0.8,1.2,0.8,0.8
"2022-11-30 07:00:00",5,74053,32.25,"2022-11-29 14:19:36",99.3,"2022-11-30 04:59:33",22.4,"2022-11-30 04:46:57",53.74,"2022-11-29 14:04:15",9.41,"2022-11-29 12:48:57",0,0,0,0,0,0,0
"2022-12-01 07:00:00",6,74053,31.26,"2022-11-30 11:29:42",98.7,"2022-11-30 20:10:30",23.83,"2022-11-30 20:13:27",60.7,"2022-11-30 11:30:51",10.68,"2022-12-01 02:25:54",0.4,0.4,0.4,0.6,1.4,1,1.4
"2022-12-02 07:00:00",7,74053,32.67,"2022-12-01 12:44:33",98,"2022-12-02 05:34:57",21.67,"2022-12-02 05:33:30",54.36,"2022-12-01 12:40:42",12.87,"2022-12-01 08:05:21",0,0,0,0,0,0,0
"2022-12-03 07:00:00",8,74053,32.11,"2022-12-02 14:17:03",97.7,"2022-12-03 06:05:00",21.9,"2022-12-03 06:08:15",49.34,"2022-12-02 14:17:06",14.24,"2022-12-02 11:36:18",0,0,0,0,0,0,0
"2022-12-04 07:00:00",9,74053,32.02,"2022-12-03 13:27:15",90.8,"2022-12-03 07:08:03",23.64,"2022-12-04 06:24:48",51.86,"2022-12-03 13:34:33",12.58,"2022-12-03 13:34:21",0,0,0,0,0,0,0
"2022-12-05 07:00:00",10,74053,31.8,"2022-12-04 13:30:36",100,"2022-12-05 03:13:39",20.61,"2022-12-05 06:00:45",51.26,"2022-12-04 13:33:36",13.72,"2022-12-04 12:12:42",0,0,0,0,0,0,0
"2022-12-06 07:00:00",11,74053,31.38,"2022-12-05 14:03:36",98.3,"2022-12-06 05:13:48",20.61,"2022-12-06 05:15:06",52.75,"2022-12-05 13:08:18",10.36,"2022-12-05 12:04:21",0,0,0,0,0,0,0
"2022-12-07 07:00:00",12,74053,32.7,"2022-12-06 13:51:39",82.7,"2022-12-06 21:02:27",23.91,"2022-12-07 02:18:09",47.89,"2022-12-06 13:51:33",10.16,"2022-12-06 10:10:18",0,0,0,0,0,0,0
"2022-12-08 07:00:00",13,74053,31.66,"2022-12-07 12:40:39",90,"2022-12-08 04:38:21",22.44,"2022-12-08 04:39:03",50.65,"2022-12-07 14:05:12",12.09,"2022-12-07 10:02:21",0,0,0,0,0,0,0
"2022-12-09 07:00:00",14,74053,31.29,"2022-12-08 12:26:30",99.8,"2022-12-09 05:05:15",20.48,"2022-12-09 05:01:39",52.48,"2022-12-08 13:07:51",12.54,"2022-12-08 11:35:57",0,0,0,0,0,0,0
"2022-12-10 07:00:00",15,74053,32.15,"2022-12-09 14:02:21",100,"2022-12-10 03:40:06",19.79,"2022-12-10 04:41:42",50.87,"2022-12-09 12:23:48",10.16,"2022-12-09 15:22:24",0,0,0,0,0,0,0
"2022-12-11 07:00:00",16,74053,32.25,"2022-12-10 12:30:18",95.8,"2022-12-11 04:22:03",20.53,"2022-12-11 04:21:30",51.46,"2022-12-10 13:29:45",11.27,"2022-12-10 10:06:30",0,0,0,0,0,0,0
"2022-12-12 07:00:00",17,74053,32.71,"2022-12-11 13:14:03",97.4,"2022-12-12 04:13:27",20.11,"2022-12-12 05:49:30",48.92,"2022-12-11 13:16:27",10.03,"2022-12-11 10:05:48",0,0,0,0,0,0,0
"2022-12-13 07:00:00",18,74053,32.58,"2022-12-12 12:46:03",98.9,"2022-12-12 22:39:12",20.8,"2022-12-13 04:43:21",48.65,"2022-12-12 13:08:48",7.252,"2022-12-12 12:03:42",0,0,0,0,0,0,0
"2022-12-14 07:00:00",19,74053,32.4,"2022-12-13 14:33:57",98.1,"2022-12-14 03:32:57",20.16,"2022-12-14 06:14:21",43.42,"2022-12-13 15:15:54",8.04,"2022-12-13 15:54:39",0,0,0,0,0,0,0
