"TOA5","SantaCruz","CR3000","12162","CR3000.Std.32.05","CPU:SCR24112022.CR3","29424","Horarios2"
"TIMESTAMP","RECORD","ESTACION","SWUpper_Avg","SWUpper_Max","SWUpper_Min","SWLower_Avg","SWLower_Max","SWLower_Min","LWUpper_Avg","LWUpper_Max","LWUpper_Min","LWLower_Avg","LWLower_Max","LWLower_Min","CNR4TC_Avg","RsNet_Avg","RsNet_Max","RsNet_Min","RlNet_Avg","RlNet_Max","RlNet_Min","Albedo_Avg","Rn_Avg","LWUpperCo_Avg","LWLowerCo_Avg"
"TS","RN","","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2"
"","","Smp","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Avg","Max","Min","Avg","Max","Min","Avg","Avg","Avg","Avg"
"2022-11-24 10:00:00",0,74053,601.6,1005,0,90.2,152.2,0,-48,0,-61.82,2.228,16.56,-7.915,30.57,511.4,856,0,-50.22,0,-68.86,0.148,461.2,434.3,484.5
"2022-11-24 11:00:00",1,74053,816,1215,375.9,113,171.3,46.25,-55.17,-41.55,-65.06,-2.759,11.03,-14.62,33.47,703,1045,329.6,-52.41,-35.85,-67.57,0.137,650.6,446,498.4
"2022-11-24 12:00:00",2,74053,788,1413,463.4,107.5,202,61.19,-51.68,-7.116,-58.78,-5.045,6.98,-15.15,33.97,680.5,1212,402.2,-46.63,-10.81,-62.03,0.135,633.9,452.8,499.4
"2022-11-24 13:00:00",3,74053,561,1222,301.3,75.83,177.5,39.84,-48.86,-38.63,-63.39,-9.09,2.048,-17.75,33.84,485.1,1044,261.4,-39.77,-25.06,-64.11,0.134,445.4,454.8,494.6
"2022-11-24 14:00:00",4,74053,419,1136,193.4,57.76,163.7,24.36,-42.1,-32.69,-63.29,-8.11,3.996,-17.15,32.71,361.2,973,168.9,-34,-18.73,-65.49,0.136,327.2,454.1,488.1
"2022-11-24 15:00:00",5,74053,104.8,272.7,14.04,13.18,36.92,0.196,-22.83,-7.455,-41.58,-6.005,-0.607,-14.34,29.56,91.6,235.7,11.61,-16.82,-6.342,-32.68,0.121,74.83,453.4,470.2
"2022-11-24 16:00:00",6,74053,95.1,337.2,19.53,15.02,56.7,4.236,-11.37,-6.855,-17.12,4.276,8.02,-1.113,25.72,80.1,280.5,15.12,-15.65,-7.219,-23.1,0.159,64.4,441,456.6
"2022-11-24 17:00:00",7,74053,55.84,160.2,9.85,9.35,30.19,2.448,-19.85,-10.66,-25.57,3.327,5.083,2.503,25.41,46.49,130.1,7.406,-23.18,-13.82,-28.43,0.173,23.31,430.7,453.9
"2022-11-24 18:00:00",8,74053,0.924,9.85,-1.48,1.425,2.399,0.93,-15.94,-9.46,-25.67,2.543,3.363,1.947,24.69,-0.501,7.455,-2.826,-18.48,-12.37,-27.97,"NAN",-18.98,430.2,448.7
"2022-11-24 19:00:00",9,74053,-1.007,-0.289,-2.094,1.417,2.081,0.906,-22.37,-8.94,-30.18,1.916,2.908,1.037,24.17,-2.423,-1.267,-3.905,-24.28,-11.8,-32.2,-1.781,-26.71,420.7,445
"2022-11-24 20:00:00",10,74053,-0.532,0.253,-1.66,1.165,1.665,0.588,-13.66,-3.336,-23.56,1.454,1.821,0.809,24.08,-1.697,-0.59,-3.08,-15.11,-5.005,-24.8,"NAN",-16.81,428.9,444
"2022-11-24 21:00:00",11,74053,-0.44,-0.108,-0.938,0.78,1.077,0.441,-8.01,-3.597,-12.98,1.36,1.644,1.163,24.3,-1.22,-0.693,-1.906,-9.37,-5.038,-14.22,-2.609,-10.59,435.9,445.2
"2022-11-24 22:00:00",12,74053,-0.35,-0.036,-0.938,0.708,0.93,0.416,-5.734,-2.476,-13.68,1.285,1.517,0.961,24.49,-1.058,-0.671,-1.746,-7.019,-3.917,-14.67,-2.936,-8.08,439.2,446.3
"2022-11-24 23:00:00",13,74053,-0.83,0.072,-1.588,1.064,1.395,0.808,-14.77,-7.402,-22.6,0.789,1.062,0.455,24.26,-1.894,-0.894,-2.714,-15.56,-8.26,-23.2,"NAN",-17.45,428.8,444.4
"2022-11-25 00:00:00",14,74053,-0.649,0.18,-1.299,0.998,1.175,0.685,-11.85,-2.971,-16.31,0.689,0.986,0.43,24.1,-1.647,-0.649,-2.475,-12.54,-3.932,-16.95,"NAN",-14.18,430.8,443.3
"2022-11-25 01:00:00",15,74053,-0.216,0.18,-0.505,0.246,0.857,-0.196,-1.803,-0.652,-3.414,0.864,1.062,0.683,24.24,-0.462,-0.166,-0.696,-2.667,-1.511,-4.299,"NAN",-3.129,441.7,444.4
